grid_points, number_of_observations, analysis_value
[0, 0],18.0,5307.806588666806
[0, 1],15.0,5345.039768545734
[0, 2],15.0,5364.247433326518
[0, 3],15.0,5388.491284185271
[0, 4],16.0,5405.542879158962
[0, 5],13.0,5421.69886595919
[0, 6],15.0,5441.471574477258
[0, 7],14.0,5477.872067749235
[0, 8],16.0,5494.759518286461
[0, 9],14.0,5526.493711624207
[0, 10],14.0,5544.425720269734
[0, 11],15.0,5564.61525997112
[0, 12],14.0,5592.652552643078
[0, 13],14.0,5605.537823498977
[0, 14],14.0,5640.152246020763
[0, 15],13.0,5679.693472805317
[0, 16],12.0,5721.497122674482
[0, 17],12.0,5767.771027455397
[0, 18],13.0,5822.334119502921
[0, 19],10.0,5820.562812121352
[0, 20],9.0,5854.201183840632
[0, 21],8.0,5994.244538163766
[1, 0],16.0,5309.583075009037
[1, 1],15.0,5327.223938494996
[1, 2],14.0,5358.3265608639995
[1, 3],16.0,5382.219529586766
[1, 4],14.0,5393.94974081253
[1, 5],15.0,5400.515698578441
[1, 6],15.0,5419.418901608827
[1, 7],16.0,5439.563119377364
[1, 8],16.0,5452.314663783
[1, 9],17.0,5471.335452733238
[1, 10],17.0,5491.975900026635
[1, 11],17.0,5507.9622680231005
[1, 12],18.0,5525.220931134161
[1, 13],18.0,5549.42524891987
[1, 14],17.0,5572.17051577058
[1, 15],16.0,5598.440768414344
[1, 16],16.0,5631.474645214519
[1, 17],14.0,5671.189260871644
[1, 18],13.0,5733.240729790938
[1, 19],11.0,5784.539756585204
[1, 20],10.0,5817.5644111156
[1, 21],8.0,5922.875843618065
[2, 0],14.0,5277.885144592363
[2, 1],14.0,5307.022837719152
[2, 2],15.0,5327.850785744401
[2, 3],15.0,5358.701477463779
[2, 4],14.0,5364.877361376548
[2, 5],17.0,5372.143990649951
[2, 6],16.0,5388.729140940546
[2, 7],17.0,5412.195628180196
[2, 8],18.0,5421.53973777815
[2, 9],17.0,5432.225381419975
[2, 10],19.0,5449.2899150886515
[2, 11],18.0,5464.9939548853
[2, 12],20.0,5475.562310907622
[2, 13],19.0,5497.315017731737
[2, 14],19.0,5510.837350447051
[2, 15],18.0,5538.619438255639
[2, 16],18.0,5573.55022041054
[2, 17],16.0,5605.99902280813
[2, 18],15.0,5651.538361809216
[2, 19],13.0,5705.726310597987
[2, 20],11.0,5782.237960330327
[2, 21],8.0,5860.8382245783
