grid_point, analysis_value, analysis_increment
grid_point, analysis_value, analysis_increment
grid_point, analysis_value, analysis_increment
[0, 0],5328.267200320165,10.083786106053594
[0, 1],5344.7745056626445,9.835995660481785
[0, 2],5376.85650803102,23.825022381553936
[0, 3],5405.952623316468,30.909145840728343
[0, 4],5425.63326551535,28.355614232596963
[0, 5],5457.662284811285,40.66334346879012
[0, 6],5476.008617062079,41.252005849735724
[0, 7],5487.553225746752,37.60743129727234
[0, 8],5494.237847908824,32.864067177540164
[0, 9],5496.096374988613,25.886250337484853
[0, 10],5497.122243760279,17.829317289164464
[0, 11],5509.628023185571,19.234668896021503
[0, 12],5532.957854848181,28.961836469557056
[0, 13],5556.942778645728,35.979243485187
[0, 14],5591.139135659651,50.07051939763278
[0, 15],5615.432460593977,54.69589102187274
[0, 16],5642.78264892745,65.38657356571548
[0, 17],5644.580438751769,51.62560226422647
[0, 18],5654.198452403503,44.92061068566454
[0, 19],5659.695034335883,36.30980505127627
[0, 20],5659.826889973499,27.72583316228338
[0, 21],5660.528527358222,24.170356802187598
[1, 0],5298.109624607395,-6.859277891588135
[1, 1],5314.879475571572,-7.763697524638701
[1, 2],5327.353265151059,-13.00878536437267
[1, 3],5365.064495331871,3.773924356751195
[1, 4],5400.065009021207,16.325953759688673
[1, 5],5415.669130079137,10.661464450229687
[1, 6],5443.043859311737,18.376181609089144
[1, 7],5477.487933797147,35.51314782847021
[1, 8],5485.9478902411,30.744942118019026
[1, 9],5486.547607513203,21.77480102070149
[1, 10],5491.579604464031,18.082007011900714
[1, 11],5503.096257939577,19.6549853298975
[1, 12],5525.275118615239,29.99544893535858
[1, 13],5547.421446001773,37.51258539490573
[1, 14],5580.269105308856,52.58574456682436
[1, 15],5599.7658701449145,53.015359997233645
[1, 16],5624.35544265022,58.480874429881624
[1, 17],5641.096513131966,54.739766368074925
[1, 18],5654.6571774211325,47.755401766551586
[1, 19],5655.398341175583,33.058947410755536
[1, 20],5662.241480585028,31.15078567272576
[1, 21],5662.494465130787,27.106792435128227
[2, 0],5261.845933355794,-28.920701190090767
[2, 1],5276.838567095327,-29.763441824240545
[2, 2],5301.28512446233,-21.43738740167555
[2, 3],5318.848282807727,-23.865487369365837
[2, 4],5348.015377131172,-17.909968896882674
[2, 5],5384.2646408800365,-4.421834663890877
[2, 6],5415.118113414676,5.538894576081475
[2, 7],5443.5787666513725,15.223159153219967
[2, 8],5469.360975610883,26.43804973200713
[2, 9],5473.237783096509,20.511248066073676
[2, 10],5477.542123733724,16.917027288407553
[2, 11],5487.548377488289,18.52272410696878
[2, 12],5507.446406448474,28.678065717406753
[2, 13],5518.9319118370395,28.05640992050212
[2, 14],5535.721709497644,29.355073404012728
[2, 15],5563.78311923999,38.64145214243854
[2, 16],5592.499618344635,44.960981422927034
[2, 17],5627.566076278896,53.68694435402267
[2, 18],5632.597851763691,33.41528532322263
[2, 19],5651.084913753219,34.02406347595752
[2, 20],5659.217640226259,31.99071332708172
[2, 21],5660.258955659529,27.774715579855183
[3, 0],5249.906886623809,-28.8449747085715
[3, 1],5260.972944357801,-29.775161983916405
[3, 2],5275.387130599195,-29.298777642499772
[3, 3],5299.350968446559,-24.86594204339599
[3, 4],5329.434945058146,-18.91711934977957
[3, 5],5366.539395498529,-5.178976557501301
[3, 6],5387.171047054092,-4.72345636902719
[3, 7],5393.6039804152,-16.210432971240152
[3, 8],5421.916298536394,-2.0930992742578383
[3, 9],5429.114780339216,-4.116184893728132
[3, 10],5432.971425924342,-7.066923997555023
